0.85866,0.93858,0.92904,0.93392,2.2809,0.33641
0.84193,0.94089,0.93753,0.95438,2.282,0.33804
0.83601,0.9428,0.94335,0.96796,2.284,0.34079
0.84067,0.94451,0.94541,0.97292,2.2836,0.3396
0.85063,0.9461,0.94433,0.9721,2.2861,0.34096
0.86215,0.94736,0.94088,0.96497,2.2888,0.3534
0.8722,0.94775,0.93619,0.9613,2.2907,0.39099
0.88023,0.9471,0.93171,0.9581,2.2953,0.43958
0.88674,0.94558,0.92836,0.95555,2.3213,0.48397
0.89279,0.9439,0.92681,0.95272,2.3221,0.54556
0.89909,0.94301,0.92672,0.9499,2.3027,0.58469
0.90586,0.94337,0.92754,0.94535,2.3078,0.63361
0.91311,0.94459,0.92844,0.94172,2.2835,0.65788
0.92055,0.94489,0.92877,0.93767,2.3054,0.68418
0.9279,0.94221,0.92836,0.93338,2.337,0.72153
0.9349,0.93406,0.92739,0.92929,2.338,0.77397
0.9414,0.93257,0.9264,0.92611,2.3257,0.816
0.94724,0.92736,0.92581,0.92563,2.3097,0.8711
0.95211,0.91125,0.92582,0.92762,2.2997,0.94827
0.95596,0.89611,0.92611,0.9304,2.2975,1.0027
0.95874,0.88101,0.92617,0.93188,2.3286,1.0435
0.96048,0.85891,0.92504,0.93148,2.3236,1.1193
0.96159,0.82287,0.9232,0.92903,2.3249,1.1505
0.96232,0.76933,0.92085,0.92469,2.334,1.1504
0.96278,0.69936,0.91837,0.91967,2.3145,1.1976
0.96308,0.62374,0.91385,0.91584,2.298,1.2482
0.96333,0.54974,0.9121,0.91454,2.3043,1.3059
0.96379,0.47948,0.91096,0.91584,2.3198,1.3478
0.96467,0.40673,0.90893,0.91856,2.3267,1.4108
0.96599,0.32608,0.90442,0.92177,2.3083,1.4725
0.96748,0.23966,0.9034,0.92407,2.2869,1.5235
0.96866,0.16491,0.90212,0.92539,2.2745,1.5593
0.96931,0.12235,0.90063,0.92579,2.2848,1.6047
0.96954,0.13523,0.89852,0.92541,2.3025,1.6567
0.97004,0.19583,0.89577,0.92483,2.3158,1.7209
0.97134,0.2865,0.8921,0.92433,2.3489,1.7631
0.97372,0.37957,0.88848,0.92378,2.3247,1.783
0.97664,0.45399,0.88557,0.92289,2.2806,1.816
0.97933,0.5057,0.88267,0.92139,2.2681,1.8489
0.98083,0.54267,0.87921,0.91878,2.277,1.886
0.98088,0.58026,0.87589,0.91524,2.3166,1.9535
0.97957,0.6249,0.87207,0.91199,2.3422,1.9785
0.97727,0.68182,0.86776,0.90968,2.3189,2.0197
0.97466,0.73387,0.86341,0.9085,2.282,2.0544
0.97234,0.7791,0.85961,0.90837,2.271,2.0801
0.97072,0.81062,0.85704,0.909,2.2829,2.1562
0.96945,0.83592,0.85556,0.91001,2.2601,2.2524
0.9693,0.85753,0.85495,0.91143,2.2625,2.3318
0.96931,0.87046,0.85469,0.9136,2.2583,2.407
0.96969,0.8752,0.85399,0.91642,2.2527,2.2791
0.96911,0.87749,0.85213,0.91986,2.2461,2.23
0.96823,0.8791,0.84824,0.92274,2.23,2.2603
0.96765,0.88144,0.84254,0.92449,2.217,2.29
0.96766,0.88657,0.8358,0.92439,2.213,2.2478
0.96947,0.89287,0.82978,0.92219,2.2092,2.2308
0.97173,0.89669,0.82644,0.9186,2.1956,2.2114
0.97508,0.8944,0.82701,0.91433,2.2066,2.1781
0.97827,0.88482,0.83228,0.91022,2.1941,2.1652
0.97967,0.8668,0.84055,0.90686,2.1877,2.1365
0.97958,0.84626,0.85005,0.90456,2.1292,2.0746
0.97895,0.82914,0.85874,0.90357,2.1362,1.9712
0.97846,0.81815,0.86553,0.90359,2.1557,1.9553
0.97903,0.81182,0.87037,0.90433,2.1934,1.9671
0.9789,0.80407,0.87384,0.90526,2.1768,1.9351
0.978,0.78807,0.87708,0.9058,2.1368,1.9017
0.97658,0.76107,0.88067,0.90542,2.093,1.8603
0.97569,0.72563,0.8847,0.90399,2.0781,1.8266
0.97495,0.69227,0.88864,0.9016,2.1007,1.7967
0.9748,0.67009,0.89191,0.89852,2.1333,1.7711
0.97497,0.66666,0.89394,0.89515,2.1882,1.7123
0.97472,0.67693,0.89483,0.89191,2.1889,1.6698
0.97325,0.69292,0.89492,0.88915,2.1523,1.6134
0.97122,0.70485,0.89475,0.88739,2.1265,1.5594
0.96858,0.70965,0.89482,0.88698,2.1029,1.5286
0.96583,0.71079,0.89538,0.88827,2.1081,1.4848
0.96375,0.71713,0.89642,0.89114,2.127,1.459
0.96252,0.73522,0.89804,0.89471,2.1625,1.4184
0.96219,0.76615,0.89972,0.8981,2.1854,1.378
