0.61538,0.020835,0.028672,1.154,0.1
0.65385,0.020835,0.029175,1.102,0.247
0.61538,0,0.028672,0.953,0.347
1,0.20139,0.22384,0.95,0.41
1,0.18055,0.21026,0.991,0.466
0.96154,0.16667,0.1826,1.148,0.622
0.88462,0.18055,0.19517,1.052,0.506
0.88462,0.20139,0.22233,1.221,0.498
0.88462,0.19445,0.22233,1.251,0.517
0.88462,0.20139,0.22233,1.287,0.533
0.80769,0.23611,0.26207,1.305,0.514
0.80769,0.25695,0.26207,1.282,0.422
0.88462,0.27778,0.29024,1.341,0.422
0.84615,0.30555,0.3169,1.433,0.434
0.84615,0.3125,0.33048,1.509,0.436
0.84615,0.32639,0.34406,1.598,0.482
0.84615,0.375,0.38481,1.675,0.498
0.80769,0.375,0.39789,1.76,0.502
0.84615,0.39583,0.41197,1.832,0.51
0.88462,0.38889,0.41247,1.901,0.5155
0.84615,0.45833,0.4663,1.944,0.517
0.92308,0.45833,0.4673,1.99,0.498
0.92308,0.45833,0.48089,2.057,0.517
0.96154,0.48611,0.49497,2.12,0.532
0.92308,0.52083,0.53521,2.198,0.532
0.92308,0.52083,0.53521,2.254,0.563
0.88462,0.54167,0.56187,2.159,0.53
0.88462,0.58333,0.58903,2.159,0.539
0.88462,0.57639,0.60262,2.159,0.565
0.92308,0.60417,0.60312,2.159,0.631
0.88462,0.625,0.64336,2.159,0.672
0.88462,0.63195,0.64336,2.159,0.707
0.88462,0.65972,0.65694,2.159,0.763
0.88462,0.625,0.64336,2.159,0.846
0.84615,0.63889,0.64286,2.159,0.904
0.84615,0.61805,0.62928,2.159,0.96
0.84615,0.61805,0.62928,2.159,1.007
0.80769,0.61805,0.62877,2.274,1.067
0.76923,0.59722,0.61469,2.218,1.098
0.80769,0.58333,0.58803,2.104,1.171
0.76923,0.59722,0.60111,2.074,1.156
0.80769,0.55555,0.57445,2.002,1.213
0.69231,0.58333,0.6001,1.953,1.264
0.69231,0.53472,0.55936,1.903,1.316
0.73077,0.52083,0.54628,1.857,1.352
0.73077,0.53472,0.54628,1.799,1.391
0.57692,0.5,0.47636,1.722,1.448
0.61538,0.53472,0.53119,1.63,1.499
0.61538,0.5,0.51761,1.474,1.537
0.57692,0.47917,0.50352,1.413,1.58
0.5,0.45139,0.47535,1.386,1.651
0.57692,0.5,0.50352,1.34,1.708
0.5,0.46528,0.47535,1.289,1.758
0.46154,0.4375,0.46127,1.223,1.81
0.42308,0.45139,0.46076,1.155,1.862
0.23077,0.45833,0.47183,1.086,1.894
0.38462,0.47917,0.48742,1.02,1.924
0.38462,0.47917,0.48742,0.955,1.963
1,0.46528,0.50905,1.1205,2.041
0.26923,0.48611,0.4995,1.053,2.101
0.23077,0.47917,0.48541,1.0345,2.164
0.23077,0.48611,0.49899,1.0345,2.219
0.15385,0.49305,0.51157,1.0345,2.267
0.19231,0.52083,0.52565,1.0345,2.267
0.11538,0.54167,0.53823,1.0345,2.1915
0.11538,0.55555,0.55181,1.0345,2.243
0.15385,0.5625,0.5659,1.0345,2.267
0.15385,0.55555,0.5659,1.0345,2.3355
0.076923,0.56945,0.57847,1.0345,2.44
0.15385,0.57639,0.57948,1.0345,2.451
0.15385,0.57639,0.57948,1.0345,2.425
0.19231,0.56945,0.5664,0.85,2.421
