0.061224,0.12245,0.14286,0.18367,0.12245,0.17724,0.18367,0.20408,0.12245,0.21806,0.58652,0.25888,0.16327,0.27174,0.50154,0.29214,0.63613,1.8145
0.30816,0.17041,0.10918,0.16327,0.74694,0.25102,0.14286,0.18367,0.12245,0.16327,0.22449,0.20408,0.12959,0.20408,0.22449,0.2449,0.63842,1.8663
0.38776,0.18367,0.12245,0.16327,0.69388,0.22449,0.14286,0.18367,0.12245,0.16327,0.22449,0.20408,0.14286,0.20408,0.22449,0.2449,0.64067,1.8896
0.57965,0.21566,0.12245,0.16327,0.56595,0.22449,0.16327,0.17484,0.12245,0.16327,0.21566,0.20408,0.14286,0.21566,0.23606,0.25647,0.64158,1.928
0.64607,0.22449,0.1258,0.16662,0.5239,0.22449,0.16662,0.18367,0.1258,0.16662,0.2312,0.20744,0.14286,0.22784,0.24825,0.26531,0.64226,1.9655
0.7463,0.20848,0.12685,0.16767,0.44178,0.20848,0.16767,0.16767,0.12685,0.16767,0.2493,0.22449,0.14286,0.22889,0.2493,0.26531,0.64292,1.9974
0.7628,0.18869,0.11475,0.15557,0.40548,0.19638,0.16327,0.16327,0.12245,0.16327,0.2372,0.21679,0.14286,0.21679,0.2372,0.25761,0.64358,2.0097
0.77551,0.16327,0.10204,0.14286,0.36735,0.18367,0.16327,0.16327,0.12245,0.16327,0.22449,0.20408,0.14286,0.20408,0.22449,0.2449,0.64425,2.0207
0.75235,0.14286,0.12245,0.15169,0.31495,0.18367,0.16327,0.18367,0.13128,0.18367,0.2449,0.22449,0.14286,0.20408,0.22449,0.26531,0.64494,2.0338
0.72821,0.13961,0.12245,0.1461,0.30288,0.18043,0.16327,0.18367,0.12245,0.18043,0.24165,0.22125,0.13961,0.20408,0.22773,0.26206,0.64594,2.0412
0.648,0.12245,0.12245,0.16327,0.27042,0.16327,0.16327,0.18367,0.12245,0.16327,0.22449,0.20408,0.12245,0.20408,0.2449,0.26019,0.69437,2.0456
0.59796,0.12245,0.11551,0.15633,0.25837,0.15633,0.16327,0.17673,0.11551,0.16327,0.22449,0.20408,0.12245,0.20408,0.23796,0.25837,0.79989,2.047
0.43389,0.1031,0.12139,0.1622,0.22555,0.14286,0.14392,0.16327,0.12139,0.16327,0.22449,0.20408,0.12245,0.20408,0.24384,0.2449,0.75278,2.0579
0.38176,0.10204,0.11075,0.15156,0.20108,0.14286,0.14286,0.16327,0.11075,0.16327,0.22449,0.19238,0.12245,0.20408,0.2332,0.2449,0.7207,2.0694
0.33824,0.10204,0.10204,0.14286,0.18077,0.14286,0.14576,0.16037,0.10204,0.16037,0.22449,0.18367,0.12245,0.20408,0.22449,0.2449,0.69279,2.0857
0.28571,0.10204,0.10204,0.15802,0.1481,0.14286,0.1481,0.15802,0.10204,0.14286,0.22449,0.19884,0.12245,0.20408,0.22449,0.26006,0.6517,2.114
0.29317,0.10949,0.10949,0.16327,0.14286,0.15031,0.15031,0.17072,0.10204,0.15031,0.23194,0.20408,0.12245,0.21153,0.23194,0.26531,0.62801,2.1266
0.32615,0.12245,0.12245,0.16327,0.14286,0.16327,0.16327,0.16364,0.10204,0.16327,0.2449,0.20408,0.14248,0.22449,0.2449,0.26531,0.60832,2.132
0.32653,0.12245,0.12245,0.16327,0.1543,0.16327,0.16327,0.16327,0.11349,0.16327,0.23345,0.21553,0.14286,0.22449,0.2449,0.26531,0.5905,2.1316
0.32653,0.12245,0.12245,0.16327,0.16327,0.16327,0.16327,0.16327,0.12245,0.16327,0.22449,0.22449,0.12245,0.22449,0.22449,0.2449,0.59529,2.1083
0.31113,0.12245,0.12245,0.16327,0.16327,0.16327,0.16327,0.16327,0.12245,0.16327,0.23989,0.20909,0.12245,0.22449,0.22449,0.2449,0.6032,2.09
0.30612,0.12245,0.12245,0.16327,0.16327,0.16327,0.16327,0.16327,0.12245,0.16327,0.2449,0.20408,0.12923,0.22449,0.22449,0.2449,0.61758,2.0686
0.30612,0.12245,0.1035,0.16327,0.18222,0.14431,0.16327,0.18222,0.1035,0.16327,0.22595,0.20408,0.14286,0.20554,0.24344,0.26385,0.64332,2.0333
0.29481,0.12245,0.11335,0.17458,0.2176,0.15417,0.16327,0.18367,0.11335,0.16327,0.2358,0.20408,0.14286,0.21539,0.2449,0.26531,0.66356,1.9911
0.22449,0.10204,0.12245,0.16327,0.28571,0.14286,0.14286,0.16327,0.12245,0.16327,0.2449,0.20408,0.12245,0.22449,0.22449,0.2449,0.67447,1.9623
0.17902,0.1172,0.12245,0.16327,0.30087,0.15801,0.15801,0.17842,0.12245,0.16327,0.22974,0.20408,0.13761,0.22449,0.23965,0.2449,0.67689,1.9394
0.12245,0.12245,0.14286,0.18367,0.36735,0.16327,0.16327,0.18367,0.12245,0.18367,0.2449,0.22449,0.14286,0.22449,0.26531,0.26531,0.6707,1.8975
0.083202,0.10283,0.12323,0.16405,0.38697,0.14364,0.14364,0.16405,0.12245,0.16405,0.2449,0.20487,0.14286,0.20487,0.24568,0.24568,0.66265,1.8679
0.070416,0.10204,0.12245,0.16327,0.41019,0.15407,0.15407,0.17448,0.12245,0.16327,0.23368,0.20408,0.14286,0.2153,0.2449,0.2449,0.65161,1.832
0.061224,0.10204,0.12245,0.16327,0.42857,0.16327,0.16327,0.18367,0.14286,0.16327,0.22449,0.20408,0.12245,0.22449,0.2449,0.2449,0.63335,1.7611
0.045958,0.10204,0.10718,0.16327,0.38277,0.148,0.16327,0.16841,0.14286,0.16327,0.22449,0.20408,0.12245,0.20922,0.22963,0.2449,0.62578,1.6907
0.040816,0.12245,0.12245,0.16327,0.30612,0.16327,0.16327,0.18367,0.16327,0.18367,0.2449,0.20408,0.14286,0.22449,0.2449,0.2449,0.62605,1.6233
0.060619,0.12245,0.12245,0.18307,0.28632,0.18307,0.18307,0.20348,0.20287,0.18367,0.2449,0.22388,0.16266,0.24429,0.2449,0.2647,0.6312,1.5624
0.072876,0.12245,0.12245,0.18367,0.25076,0.17202,0.18367,0.19243,0.21573,0.18367,0.2449,0.22449,0.16327,0.2449,0.2449,0.26531,0.63268,1.5275
